author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307544571/;Москва;sale;flat;2;21;3;157.8;165216600;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;46,2 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;-1;-1;-1;-1;-1;65 м²;25 м²;+79856120994;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040443/;Москва;sale;flat;5;5;3;183.1;174494300;2017;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, черновая;70,9 м²;43,8 м²;+74951387060;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308015928/;Москва;sale;flat;28;37;4;177.3;215000000;2024;-1;-1;-1;-1;-1;20 м²;+79660640315;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
